Filename,eTime_0,eTime_1,eTime_2,eTime_3,eTime_4,eTime_5,eTime_6,eTime_7,eTime_8,eTime_9,Med,Ave,Std
15.cpp,0.002996922,0.002999306,0.003000021,0.002997875,0.003009558,0.002112389,0.003001928,0.002999783,0.003040552,0.003000259,0.002999902,0.002923499,0.000282609
150.cpp,0.004012585,0.002053261,0.00296092,0.003000259,0.003001213,0.002999306,0.003000021,0.002997398,0.004003286,0.003036022,0.00300014,0.003096765,0.000559543
151.cpp,0.003001451,0.00599885,0.007038355,0.006000757,0.003041029,0.003070354,0.006000042,0.00300169,0.005999804,0.003074408,0.004536629,0.004614852,0.001699232
152.cpp,0.004089594,0.002000093,0.003147125,0.00308466,0.005981684,0.006115675,0.003000498,0.002996445,0.004000425,0.003043413,0.003115892,0.003688682,0.001343787
153.cpp,0.004092932,0.003000975,0.001998663,0.003002167,0.002001524,0.004000902,0.002996922,0.00301671,0.003002644,0.002056599,0.003001571,0.002924692,0.000746649
154.cpp,0.003998995,0.003021002,0.003006697,0.002999306,0.003000021,0.007999659,0.003056526,0.003010035,0.002990961,0.002999544,0.003008366,0.003553737,0.001574042
155.cpp,0.002995253,0.002000332,0.00303936,0.003046036,0.003000498,0.008999348,0.001997471,0.003001213,0.002002001,0.002001047,0.002997875,0.00318913,0.002096571
156.cpp,0.003993511,0.003037214,0.003000498,0.004000187,0.002997875,0.003082991,0.003052711,0.002962589,0.002984762,0.003050327,0.003043771,0.003200585,0.000412976
157.cpp,0.003001451,0.001992226,0.002998114,0.003998518,0.002999067,0.004083633,0.003055096,0.003081083,0.002999544,0.003207207,0.003028274,0.003131292,0.000581088
158.cpp,0.002999067,0.002997875,0.003000975,0.003095627,0.003094435,0.002952814,0.003032446,0.003999472,0.002060652,0.003102303,0.00301671,0.003032034,0.000459694
159.cpp,0.002999783,0.003003597,0.003000021,0.003000021,0.003033161,0.0030303,0.00300169,0.002996206,0.003049374,0.003073931,0.003002644,0.003017339,2.66957E-05
16.cpp,0.002997398,0.003002167,0.003031969,0.002000809,0.003035069,0.003031969,0.004001856,0.003113508,0.003087282,0.003123283,0.003033519,0.003041712,0.000474107
160.cpp,0.003001451,0.002997637,0.003046751,0.003000498,0.003000021,0.002999067,0.002999306,0.002981186,0.003000021,0.003000975,0.003000021,0.003002449,1.65913E-05
161.cpp,0.00298357,0.002984524,0.003040552,0.002999544,0.003049374,0.002996206,0.002979517,0.002999067,0.002998114,0.002999783,0.00299859,0.003002622,2.34255E-05
162.cpp,0.003083944,0.001999855,0.002999306,0.003033161,0.002914667,0.003040791,0.00300169,0.00398612,0.002000093,0.003000498,0.003001094,0.002914656,0.000567773
163.cpp,0.002999306,0.002996922,0.003000975,0.003043652,0.00299859,0.00302124,0.002999306,0.004001141,0.002988577,0.001998663,0.002999306,0.003004334,0.000472255
164.cpp,0.00399971,0.002998352,0.001977444,0.002035856,0.002045631,0.003036737,0.003002405,0.003001213,0.002999544,0.003059149,0.003000379,0.002832402,0.000628072
165.cpp,0.002999544,0.005998611,0.005999327,0.006000996,0.007003069,0.005999565,0.002043724,0.003072977,0.006984472,0.006036043,0.005999446,0.005285252,0.001795623
166.cpp,0.003020287,0.003204823,0.002001047,0.003000736,0.003000021,0.001986742,0.002960682,0.003049374,0.002951384,0.003018856,0.003000379,0.002835848,0.000440641
167.cpp,0.004001379,0.002000332,0.003037691,0.003083229,0.00307703,0.003093004,0.002998352,0.003002644,0.002998829,0.001998663,0.003020167,0.002937393,0.000575178
168.cpp,0.004001617,0.002055407,0.003006935,0.003093958,0.004093409,0.003000259,0.003000259,0.003000736,0.002981424,0.002999783,0.003000498,0.003112208,0.000572328
169.cpp,0.004145861,0.002915144,0.00310564,0.006000519,0.006534576,0.006999969,0.006098747,0.00314784,0.006998539,0.006000042,0.00600028,0.005267924,0.001675761
17.cpp,0.002978802,0.001999617,0.002996922,0.002039433,0.002999544,0.00306344,0.002999783,0.003997803,0.003036737,0.003000975,0.002999663,0.002919338,0.00056236
170.cpp,0.003056288,0.002999544,0.003000975,0.002001762,0.00198102,0.003000736,0.00298667,0.002999067,0.00399971,0.002001286,0.002999306,0.002820578,0.000636461
171.cpp,0.003999233,0.00199914,0.002997875,0.003081083,0.002997637,0.002999544,0.003038406,0.002999306,0.003032923,0.001992702,0.002999425,0.00292157,0.000572485
172.cpp,0.002997875,0.003000259,0.003000021,0.002998352,0.002999067,0.004032135,0.002997875,0.002997637,0.003000021,0.003000259,0.002999544,0.003093004,0.000326695
173.cpp,0.002993107,0.003000498,0.003000736,0.00296092,0.002999783,0.001997709,0.003093004,0.004104137,0.002998829,0.003072739,0.00300014,0.003020146,0.000498255
174.cpp,0.004048347,0.003012419,0.00299859,0.003023863,0.00299859,0.003038883,0.003056526,0.003000498,0.00299859,0.002999783,0.003006458,0.003107504,0.000327643
175.cpp,0.003999472,0.00299859,0.006000519,0.003000259,0.005998373,0.006001711,0.00413847,0.006998539,0.002996922,0.00299716,0.004068971,0.004472635,0.001577455
176.cpp,0.003955603,0.003000259,0.003010511,0.003101826,0.002981663,0.002999306,0.006091118,0.002993345,0.004000902,0.003000259,0.003005385,0.003467289,0.000991309
18.cpp,0.004001856,0.004065752,0.00300169,0.003001451,0.00336957,0.003083467,0.003087759,0.003002167,0.003026962,0.001991987,0.003055215,0.003153443,0.000581288
19.cpp,0.002989769,0.003002167,0.003000975,0.003119469,0.002937078,0.003051996,0.003192425,0.003001213,0.003141642,0.003034115,0.003018141,0.003044454,7.96736E-05
2.cpp,0.004011393,0.00300312,0.00300169,0.003002167,0.003074884,0.003021002,0.001998901,0.002999306,0.003115416,0.004101992,0.003012061,0.003121994,0.00058519
20.cpp,0.004998446,0.003000259,0.003093719,0.002997875,0.003035307,0.002998829,0.003000975,0.003001451,0.003055096,0.002985239,0.003001213,0.003197128,0.000626933
21.cpp,0.00399971,0.003009558,0.003000498,0.002997398,0.003000736,0.003053665,0.003124475,0.002999783,0.003000975,0.003116131,0.003005266,0.003118927,0.000309411
22.cpp,0.004000187,0.002996922,0.002983332,0.003000975,0.003032923,0.001999855,0.003070354,0.003000021,0.002000809,0.003190756,0.003000498,0.002934239,0.000576325
23.cpp,0.003998756,0.001985788,0.003019571,0.003012657,0.002996922,0.001997948,0.003000021,0.004061222,0.003000021,0.003002405,0.003001213,0.003006957,0.000679578
24.cpp,0.003064156,0.002985477,0.006999731,0.003044605,0.002001047,0.005999565,0.003095388,0.002918959,0.006000042,0.003078699,0.003071427,0.003841736,0.001718534
25.cpp,0.004004002,0.002992153,0.003000021,0.002999544,0.004084349,0.002995968,0.003173113,0.002997398,0.003001451,0.003003597,0.003000736,0.003204758,0.000435499
26.cpp,0.00716877,0.005999804,0.003001213,0.002037048,0.003011227,0.002960205,0.002000809,0.00299859,0.003000736,0.001997232,0.002999663,0.003379573,0.001750136
27.cpp,0.003080368,0.004001379,0.0070858,0.005999565,0.006999731,0.004002333,0.006999016,0.004063129,0.007000685,0.007081747,0.00649929,0.005710277,0.001641478
28.cpp,0.003001451,0.003000021,0.004018545,0.003076553,0.003000498,0.002999783,0.00300169,0.002996922,0.003036976,0.002068758,0.003000975,0.003018379,0.000460415
29.cpp,0.003000021,0.003096104,0.002998829,0.002998829,0.002000093,0.002984285,0.002055407,0.00400281,0.003001451,0.002997875,0.002998829,0.002921321,0.000561
3.cpp,0.003001451,0.003040791,0.003998518,0.002918482,0.002998114,0.002994061,0.004000187,0.00407052,0.003031731,0.003036261,0.003033996,0.00328401,0.000494325
30.cpp,0.003124952,0.002998829,0.002980471,0.003081799,0.00300169,0.00303936,0.002997875,0.00300312,0.003095627,0.003067017,0.00302124,0.003037453,5.01344E-05
31.cpp,0.004002094,0.003000021,0.004072666,0.002998352,0.002998114,0.004068136,0.003044605,0.004148006,0.003010511,0.004002094,0.00352335,0.00353345,0.000554122
32.cpp,0.002998829,0.00600028,0.002999544,0.005918026,0.003000021,0.00308609,0.00607872,0.003998041,0.003002405,0.003000498,0.003044248,0.003920609,0.001407638
33.cpp,0.003001213,0.002932072,0.002999306,0.003000021,0.003069401,0.00201869,0.00299859,0.004070759,0.003000021,0.002998829,0.002999663,0.003008051,0.000485128
34.cpp,0.004029989,0.001998901,0.00407505,0.003046274,0.00299263,0.002999306,0.003133297,0.003063917,0.003000498,0.003001213,0.003023744,0.003124075,0.000583382
35.cpp,0.004020452,0.002999067,0.003000498,0.003073454,0.002999783,0.001999378,0.002996683,0.004058361,0.003998995,0.002000809,0.00300014,0.003104329,0.000747797
36.cpp,0.003000736,0.003034115,0.00310421,0.002116442,0.003167629,0.003000259,0.001999617,0.004041672,0.003095388,0.003070116,0.003052115,0.002971118,0.000568329
37.cpp,0.003998995,0.002000332,0.005079985,0.002192736,0.003076315,0.002000093,0.002002239,0.004999638,0.003000259,0.003000975,0.003000617,0.003122926,0.001192215
38.cpp,0.004041195,0.002000332,0.002998829,0.002993584,0.003001928,0.003037214,0.003001451,0.0030334,0.002996922,0.002999306,0.003000379,0.003009504,0.000481306
39.cpp,0.004001617,0.003001213,0.003001213,0.003004789,0.00301218,0.003000259,0.002962589,0.003100872,0.001999617,0.003052235,0.003003001,0.00301269,0.000473359
4.cpp,0.003999949,0.003087521,0.004074812,0.003013372,0.003171921,0.002999067,0.001961946,0.003105164,0.002999544,0.003203392,0.003096342,0.00315573,0.000583203
40.cpp,0.00399971,0.003024578,0.003001451,0.004058361,0.001933575,0.00300169,0.00299859,0.002991438,0.002997875,0.003000021,0.003000736,0.003091639,0.000592175
41.cpp,0.003999949,0.002999783,0.003078222,0.002999544,0.003002167,0.003106594,0.003127337,0.004073381,0.003006458,0.003046513,0.003062367,0.003227483,0.000420663
42.cpp,0.004038095,0.004000425,0.003035784,0.003000975,0.003000975,0.004036665,0.007039785,0.004072905,0.002999067,0.003997803,0.003999114,0.003929236,0.001207184
43.cpp,0.004022598,0.003000498,0.00201869,0.003076077,0.002021313,0.004117727,0.00308609,0.00506568,0.003041029,0.004061699,0.003081083,0.003326589,0.000965628
44.cpp,0.002999544,0.002075911,0.001999855,0.002999544,0.002001762,0.00299859,0.00299716,0.003998756,0.003001451,0.003037214,0.002999067,0.002828078,0.000622926
45.cpp,0.003998995,0.002997875,0.007048368,0.003000975,0.003037691,0.007101297,0.005999327,0.003003359,0.007014275,0.003115177,0.003557086,0.004534039,0.001906347
46.cpp,0.002985716,0.002999067,0.003002405,0.002998829,0.003001213,0.003266573,0.003000021,0.003000021,0.002999067,0.003001213,0.003000021,0.003023104,8.48653E-05
47.cpp,0.00399971,0.00300169,0.00301671,0.003000498,0.002999306,0.00302434,0.003000021,0.003052711,0.003000021,0.004058123,0.0030092,0.003196575,0.000429354
48.cpp,0.004002333,0.005999327,0.006026745,0.005912304,0.002931356,0.00600481,0.001996994,0.006002188,0.006001711,0.003002644,0.005955815,0.004894202,0.001623968
49.cpp,0.004048586,0.003000975,0.003000975,0.003085136,0.002998829,0.002999544,0.003074884,0.003043652,0.002998829,0.003078222,0.003022313,0.003122904,0.000323801
5.cpp,0.006999016,0.001986027,0.002999544,0.003038883,0.00199914,0.003087997,0.002999783,0.002000809,0.003000259,0.003000736,0.003000021,0.00310111,0.001449365
50.cpp,0.00299859,0.003000736,0.002999544,0.002985477,0.002999783,0.003002405,0.003081799,0.003057241,0.003031969,0.003085613,0.003001571,0.003022248,3.74553E-05
51.cpp,0.003992319,0.003059864,0.00308609,0.001998186,0.003001451,0.003203392,0.002999783,0.003000975,0.002969742,0.003003597,0.003002524,0.003028902,0.000475123
52.cpp,0.004000425,0.001999378,0.003060579,0.0031569,0.002988815,0.003038168,0.002999783,0.003000498,0.003013134,0.003004074,0.003008604,0.003024578,0.000474377
53.cpp,0.003000498,0.002999783,0.002991915,0.003069162,0.00298357,0.003079653,0.002999544,0.003000021,0.003002644,0.003000021,0.003000021,0.00301153,3.31038E-05
54.cpp,0.002989531,0.003023863,0.003057003,0.002999544,0.003005981,0.003000259,0.003034115,0.003000259,0.003011942,0.00300312,0.003004551,0.003011834,2.02832E-05
55.cpp,0.003999233,0.00200057,0.002003431,0.003000259,0.002999544,0.003000259,0.003048658,0.002999544,0.002999067,0.002999067,0.002999544,0.002913562,0.000567893
