Filename,FunDef,FunApp,letlambda,BinaryOperator,letdata,closure,templateMatch,ClassDef,ForLoop,WhileLoop,DoWhileLoop,IfStmt,SwitchStmt,CaseStmt,DefaultStmt,TernaryOp,ArrayDecl,FieldDecl,EnumConstantDecl,ParamDecl,TypedefDecl,StructDecl,FloatDecl,IntegerDecl,PtrDecl,UnionDecl,ReturnStmt,BreakStmt,ContinueStmt,DeclStmt,UnaryOperator,CharLiteral,StringLiteral,DeclRefExpr,MemberRefExpr,TranslationUnit,Namespace,TemplateTypeParam,TemplateNonTypeParam,TemplateTemplateParam,UnexpoesdDecl,NewOp,DelOp,Static_Cast<>,BoolLiteral
168.cpp,2,4,0,16,4,7,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,0,11,0,0,4,0,0,4,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0
169.cpp,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17.cpp,1,0,0,5,7,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12,0,0,1,0,0,7,1,0,0,13,0,1,0,0,0,0,0,0,0,0,0
170.cpp,1,0,0,5,5,6,0,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,12,0,0,1,0,0,5,3,0,0,17,0,1,0,0,0,0,0,0,0,0,0
171.cpp,1,0,0,21,5,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,4,1,0,0,43,0,1,0,0,0,0,0,0,0,0,0
172.cpp,1,0,0,27,4,27,0,0,0,0,0,21,0,0,0,0,36,0,0,0,0,0,0,79,0,0,7,0,0,4,24,0,0,56,0,1,0,0,0,0,0,0,0,0,0
173.cpp,1,0,0,48,10,14,0,0,2,1,0,10,0,0,0,0,35,0,0,0,0,0,1,55,0,0,1,0,0,9,3,0,0,92,0,1,0,0,0,0,0,0,0,0,0
174.cpp,1,0,0,32,6,13,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,0,0,3,0,0,0,46,0,1,0,0,0,0,0,0,0,0,0
175.cpp,1,0,0,6,8,5,0,0,2,1,0,1,0,0,0,0,3,0,0,0,0,0,0,16,0,0,1,0,0,8,4,0,0,11,0,1,0,0,0,0,0,0,0,0,5
176.cpp,3,0,0,11,9,8,0,0,1,0,0,2,0,0,0,1,0,3,0,3,0,1,0,5,0,0,3,0,0,5,2,8,0,16,2,1,0,0,0,0,0,0,0,0,0
18.cpp,1,0,0,17,5,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,5,0,0,0,17,0,1,0,0,0,0,0,0,0,0,1
19.cpp,1,0,0,17,16,7,0,0,4,1,0,1,0,0,0,0,9,0,0,0,0,0,0,28,0,0,1,0,0,15,7,0,0,61,0,1,0,0,0,0,0,0,0,0,4
2.cpp,2,1,0,13,7,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,10,0,0,1,0,0,7,2,3,0,17,0,1,0,0,0,0,0,0,0,2,1
