Filename,FunDef,FunApp,letlambda,BinaryOperator,letdata,closure,templateMatch,ClassDef,ForLoop,WhileLoop,DoWhileLoop,IfStmt,SwitchStmt,CaseStmt,DefaultStmt,TernaryOp,ArrayDecl,FieldDecl,EnumConstantDecl,ParamDecl,TypedefDecl,StructDecl,FloatDecl,IntegerDecl,PtrDecl,UnionDecl,ReturnStmt,BreakStmt,ContinueStmt,DeclStmt,UnaryOperator,CharLiteral,StringLiteral,DeclRefExpr,MemberRefExpr,TranslationUnit,Namespace,TemplateTypeParam,TemplateNonTypeParam,TemplateTemplateParam,UnexpoesdDecl,NewOp,DelOp,Static_Cast<>,BoolLiteral
49.cpp,0,0,0,5,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,2,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0
5.cpp,0,1,0,14,8,5,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,9,0,0,2,0,0,5,4,0,0,18,1,1,0,0,0,0,0,0,0,0,0
50.cpp,0,1,0,1,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0
51.cpp,0,2,0,14,9,5,0,1,4,0,0,2,0,0,0,0,2,0,0,2,0,0,0,12,0,0,1,0,0,9,4,0,0,20,2,1,0,0,0,0,0,0,0,0,0
52.cpp,0,2,0,5,6,7,0,1,4,0,0,2,0,0,0,0,5,0,0,1,0,0,0,6,0,0,0,0,0,6,5,0,0,17,2,1,0,0,0,0,0,0,0,0,0
53.cpp,0,3,0,4,4,5,0,1,2,0,0,2,0,0,0,0,6,0,0,1,0,0,0,4,0,0,0,0,0,4,4,0,0,19,1,1,0,0,0,0,0,0,0,0,0
54.cpp,0,1,0,5,3,4,0,1,0,1,0,2,0,0,0,0,4,0,0,1,0,0,0,4,0,0,2,0,0,2,2,0,0,13,1,1,0,0,0,0,0,0,0,0,0
55.cpp,0,1,0,27,4,12,0,1,0,1,0,7,0,0,0,0,12,0,0,2,0,0,0,11,0,0,4,0,0,3,2,0,0,40,1,1,0,0,0,0,0,0,0,0,3
56.cpp,0,9,0,9,6,6,0,1,3,2,0,0,0,0,0,0,4,0,0,1,0,0,0,5,0,0,1,0,0,6,5,0,0,20,9,1,0,0,0,0,0,0,0,0,0
57.cpp,0,1,0,15,2,4,0,1,1,0,0,2,0,0,0,0,4,0,0,1,0,0,0,8,0,0,0,0,0,2,1,4,0,11,1,1,0,0,0,0,0,0,0,0,0
58.cpp,0,3,0,17,7,6,0,1,2,0,0,3,0,0,0,0,16,0,0,3,0,0,0,11,0,0,2,0,0,5,2,0,0,32,3,1,0,0,0,0,0,0,0,0,2
59.cpp,0,1,0,2,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,2,0,0,6,1,1,0,0,0,0,0,0,0,0,0
6.cpp,0,0,0,5,2,3,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,2,0,0,2,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0
60.cpp,0,2,0,5,4,3,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,1,0,0,3,2,0,0,13,1,1,0,0,0,0,0,0,0,0,0
61.cpp,0,2,0,3,3,2,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,1,0,0,3,1,0,0,8,1,1,0,0,0,0,0,0,0,0,0
62.cpp,0,1,0,3,4,3,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0,2,0,0,3,2,0,0,8,1,1,0,0,0,0,0,0,0,0,2
63.cpp,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
64.cpp,0,2,0,22,4,10,0,1,4,0,0,4,0,0,0,0,13,2,0,4,0,0,0,9,0,0,2,0,0,4,4,6,0,29,11,1,0,0,0,0,0,0,0,0,0
65.cpp,0,1,0,9,6,6,0,1,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,6,0,0,2,1,0,5,2,0,0,20,1,1,0,0,0,0,0,0,0,0,0
66.cpp,0,1,0,13,5,7,0,1,2,0,0,2,0,0,0,0,4,0,0,1,0,0,0,10,0,0,1,0,0,4,3,0,0,16,1,1,0,0,0,0,0,0,0,0,0
67.cpp,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
68.cpp,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
69.cpp,0,7,0,8,4,4,0,1,2,0,0,1,0,0,0,0,4,0,0,2,0,0,0,4,0,0,1,1,0,4,2,0,0,14,6,1,0,0,0,0,0,0,0,0,2
7.cpp,0,1,0,10,1,4,0,2,0,0,0,5,0,0,0,1,0,3,0,3,0,0,0,9,0,0,5,0,0,1,1,4,0,10,5,1,0,0,0,0,0,0,0,0,0
70.cpp,0,13,0,12,6,6,0,1,1,0,0,1,1,4,0,0,1,0,0,2,0,0,0,2,0,0,2,4,0,6,2,4,4,21,12,1,0,0,0,0,0,0,0,0,0
71.cpp,0,10,0,14,4,3,0,1,1,1,0,2,0,0,0,0,5,0,0,1,0,0,0,3,0,0,1,0,0,4,4,3,0,25,8,1,0,0,0,0,0,0,0,0,0
72.cpp,0,5,0,8,6,2,0,1,1,0,0,0,0,0,0,0,9,0,0,1,0,0,0,4,0,0,1,0,0,3,1,0,0,26,1,1,0,0,0,0,0,0,0,0,0
73.cpp,0,1,0,5,4,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,1,0,0,4,1,1,0,8,1,1,0,0,0,0,0,0,0,0,0
74.cpp,0,0,0,3,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,3,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0
75.cpp,0,2,0,4,5,3,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,4,2,0,0,6,2,1,0,0,0,0,0,0,0,0,0
76.cpp,0,11,0,12,5,5,0,1,1,0,0,2,1,3,1,0,5,0,0,1,0,0,0,6,0,0,1,3,0,5,3,6,0,26,7,1,0,0,0,0,0,0,0,0,0
77.cpp,0,6,0,8,6,4,0,1,0,2,0,1,0,0,0,0,3,0,0,1,0,0,0,4,0,0,1,0,0,6,2,0,1,18,4,1,0,0,0,0,0,0,0,0,0
78.cpp,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
79.cpp,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
8.cpp,0,0,0,15,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,2,0,0,1,0,0,0,13,0,1,0,0,0,0,0,0,0,0,1
80.cpp,0,1,0,9,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,0,0,3,1,0,0,15,0,1,0,0,0,0,0,0,0,0,0
81.cpp,0,1,0,4,4,4,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,4,3,0,0,9,1,1,0,0,0,0,0,0,0,0,0
82.cpp,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
83.cpp,0,1,0,2,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,3,1,0,2,3,1,1,0,0,0,0,0,0,0,0,1
84.cpp,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
85.cpp,0,1,0,24,15,7,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,25,0,0,3,0,0,12,3,2,0,42,1,1,0,0,0,0,0,0,0,0,3
86.cpp,0,5,1,4,3,6,0,1,2,0,0,2,0,0,0,0,6,0,0,3,0,0,0,7,0,0,2,0,0,3,2,0,0,13,4,1,0,0,0,0,0,0,0,0,0
87.cpp,0,2,0,5,4,4,0,1,2,0,0,1,0,0,0,0,5,0,0,1,0,0,0,5,0,0,2,0,0,3,2,0,0,11,2,1,0,0,0,0,0,0,0,0,2
88.cpp,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
89.cpp,0,2,0,3,3,3,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,2,2,0,0,11,1,1,0,0,0,0,0,0,0,0,0
9.cpp,0,3,1,8,5,10,0,1,2,0,0,5,0,0,0,0,2,0,0,4,0,0,0,6,0,0,2,0,0,5,2,2,0,17,2,1,0,0,0,0,0,0,0,0,2
90.cpp,0,1,0,10,4,5,0,1,1,0,0,3,0,0,0,0,3,0,0,3,0,0,0,6,0,0,1,0,0,2,5,0,0,21,1,1,0,0,0,0,0,0,0,0,0
91.cpp,0,2,0,7,5,6,0,1,2,0,0,3,0,0,0,0,2,0,0,2,0,0,0,2,0,0,3,1,0,4,2,0,0,15,2,1,0,0,0,0,0,0,0,0,5
92.cpp,0,1,0,12,8,5,0,1,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,7,0,0,1,0,0,8,2,0,0,21,1,1,0,0,0,0,0,0,0,0,0
93.cpp,0,2,0,3,4,4,0,1,2,0,0,1,0,0,0,0,2,0,0,3,0,0,1,3,0,0,1,0,0,4,2,0,0,10,1,1,0,0,0,0,0,0,0,0,0
94.cpp,0,4,0,25,10,11,0,1,4,0,0,5,0,0,0,0,10,0,0,1,0,0,0,12,0,0,2,3,0,9,4,4,0,47,4,1,0,0,0,0,0,0,0,0,2
95.cpp,0,7,0,8,4,4,0,1,2,0,0,1,0,0,0,0,4,0,0,2,0,0,0,4,0,0,1,1,0,4,2,0,0,14,6,1,0,0,0,0,0,0,0,0,2
96.cpp,0,1,0,3,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,3,1,0,0,7,1,1,0,0,0,0,0,0,0,0,0
97.cpp,0,0,0,7,2,4,0,1,0,1,0,1,0,0,0,0,0,5,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,9,4,1,0,0,0,0,0,0,0,0,1
98.cpp,0,0,0,17,6,5,0,1,0,2,0,2,0,0,0,0,6,0,0,1,0,0,0,12,0,0,2,0,0,6,4,6,0,21,0,1,0,0,0,0,0,0,0,0,0
99.cpp,0,10,0,8,3,5,0,1,1,0,0,3,0,0,0,0,2,0,0,2,0,0,0,5,0,0,1,0,0,3,2,3,0,14,8,1,0,0,0,0,0,0,0,0,0
